thscode,time,open,high,low,close,volume,market_cap,industry,index_name
000300.SH,2021-06-01,5320.4745,5343.7529,5269.259,5341.6798,143831474.0,,,沪深300
000300.SH,2021-06-02,5348.344,5352.6404,5266.7852,5289.9736,137754319.0,,,沪深300
000300.SH,2021-06-03,5285.7098,5314.3691,5255.0719,5255.2855,141968878.0,,,沪深300
000300.SH,2021-06-04,5228.2761,5334.4899,5221.2291,5282.2772,144732087.0,,,沪深300
000300.SH,2021-06-07,5284.8907,5286.8424,5242.9481,5277.6271,127704971.0,,,沪深300
000300.SH,2021-06-08,5276.9711,5319.0406,5201.1404,5232.1165,130559532.0,,,沪深300
000300.SH,2021-06-09,5224.9496,5253.3555,5215.3506,5236.4493,121820321.0,,,沪深300
000300.SH,2021-06-10,5236.4691,5299.5299,5229.5182,5271.4661,138991967.0,,,沪深300
000300.SH,2021-06-11,5275.7456,5276.1039,5213.5991,5224.703,180807173.0,,,沪深300
000300.SH,2021-06-15,5218.5648,5225.5021,5137.409,5166.5597,142880058.0,,,沪深300
000300.SH,2021-06-16,5163.2493,5164.5192,5076.0222,5080.4909,125147985.0,,,沪深300
000300.SH,2021-06-17,5074.3839,5123.3651,5073.8211,5101.8924,120452518.0,,,沪深300
000300.SH,2021-06-18,5104.9297,5128.0309,5064.9208,5102.4657,148585805.0,,,沪深300
000300.SH,2021-06-21,5088.0893,5123.7827,5058.5699,5090.3854,132184516.0,,,沪深300
000300.SH,2021-06-22,5106.0743,5125.8186,5086.2776,5122.1583,130416753.0,,,沪深300
000300.SH,2021-06-23,5127.191,5171.033,5109.7571,5147.3938,136356058.0,,,沪深300
000300.SH,2021-06-24,5156.5638,5160.4346,5120.5844,5155.9738,126685625.0,,,沪深300
000300.SH,2021-06-25,5159.8017,5251.6076,5157.4758,5239.9684,154931061.0,,,沪深300
000300.SH,2021-06-28,5253.6081,5260.6372,5226.2201,5251.7604,133193783.0,,,沪深300
000300.SH,2021-06-29,5248.5249,5248.5249,5182.6771,5190.5445,125162997.0,,,沪深300
000300.SH,2021-06-30,5189.3797,5231.4262,5186.625,5224.041,103752671.0,,,沪深300
000300.SH,2021-07-01,5241.2039,5252.2642,5190.8762,5229.6642,127240620.0,,,沪深300
000300.SH,2021-07-02,5186.6613,5186.6613,5074.3621,5081.1172,130426424.0,,,沪深300
000300.SH,2021-07-05,5073.7787,5098.2305,5048.004,5085.7924,131211589.0,,,沪深300
000300.SH,2021-07-06,5089.778,5092.2066,5028.5058,5083.1043,140655220.0,,,沪深300
000300.SH,2021-07-07,5052.4204,5152.7711,5045.4056,5140.4899,148549060.0,,,沪深300
000300.SH,2021-07-08,5149.3095,5151.2171,5078.9295,5088.2566,173901008.0,,,沪深300
000300.SH,2021-07-09,5063.148,5081.4086,5006.4115,5069.4361,160653226.0,,,沪深300
000300.SH,2021-07-12,5108.3783,5159.4115,5070.3188,5132.7088,206212039.0,,,沪深300
000300.SH,2021-07-13,5128.6138,5154.0508,5114.943,5142.0991,166482209.0,,,沪深300
000300.SH,2021-07-14,5130.7522,5130.7522,5075.1252,5083.0849,188352720.0,,,沪深300
000300.SH,2021-07-15,5073.2634,5153.8056,5067.6767,5151.4626,181077103.0,,,沪深300
000300.SH,2021-07-16,5140.904,5140.904,5090.6321,5094.7727,169955982.0,,,沪深300
000300.SH,2021-07-19,5083.7276,5120.8235,5047.6234,5113.4945,153199589.0,,,沪深300
