open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
3851.4053,3861.3815,3817.8365,3850.4996,124150770,000300.SH,2023-05-25,NA,NA,CNY
3848.4174,3859.6291,3815.5701,3850.9511,100326439,000300.SH,2023-05-26,NA,NA,CNY
3862.0838,3866.7238,3819.1822,3833.9416,131859967,000300.SH,2023-05-29,NA,NA,CNY
3827.7924,3844.0052,3789.2736,3837.7531,137619629,000300.SH,2023-05-30,NA,NA,CNY
3827.1634,3827.1634,3781.4034,3798.5434,126387368,000300.SH,2023-05-31,NA,NA,CNY
3788.5902,3832.2051,3786.7344,3806.8679,134561881,000300.SH,2023-06-01,NA,NA,CNY
3821.6198,3865.2843,3821.6198,3861.8337,125015110,000300.SH,2023-06-02,NA,NA,CNY
3860.5557,3860.5557,3832.4578,3844.2492,116163989,000300.SH,2023-06-05,NA,NA,CNY
3840.4587,3867.8452,3802.8449,3808.1629,125781258,000300.SH,2023-06-06,NA,NA,CNY
3815.4823,3823.1124,3780.1021,3789.3418,98862432,000300.SH,2023-06-07,NA,NA,CNY
3791.0826,3834.3888,3777.7752,3820.1867,118700934,000300.SH,2023-06-08,NA,NA,CNY
3822.4088,3836.7026,3811.2189,3836.7026,134319863,000300.SH,2023-06-09,NA,NA,CNY
3827.3253,3859.7156,3813.8577,3844.4324,126758543,000300.SH,2023-06-12,NA,NA,CNY
3838.1287,3867.3034,3833.4598,3864.9074,110924946,000300.SH,2023-06-13,NA,NA,CNY
3872.7155,3891.6656,3862.0609,3864.0247,124955759,000300.SH,2023-06-14,NA,NA,CNY
3871.7746,3925.4994,3871.7746,3925.4994,128369938,000300.SH,2023-06-15,NA,NA,CNY
3932.2114,3968.0128,3928.5419,3963.3509,139760076,000300.SH,2023-06-16,NA,NA,CNY
3957.0327,3957.0327,3922.4742,3930.9079,134905848,000300.SH,2023-06-19,NA,NA,CNY
3926.094,3937.4945,3918.473,3924.2377,122520318,000300.SH,2023-06-20,NA,NA,CNY
3909.1044,3920.1276,3864.0323,3864.0323,118346575,000300.SH,2023-06-21,NA,NA,CNY
3833.4436,3841.2862,3801.0537,3809.6962,133990419,000300.SH,2023-06-26,NA,NA,CNY
3811.6872,3851.8957,3806.3242,3845.4334,116992681,000300.SH,2023-06-27,NA,NA,CNY
3836.6086,3846.8516,3808.1607,3840.7986,107021541,000300.SH,2023-06-28,NA,NA,CNY
3836.7305,3840.7132,3817.3759,3821.8435,98289274,000300.SH,2023-06-29,NA,NA,CNY
3816.3345,3860.0311,3813.552,3842.4516,101268429,000300.SH,2023-06-30,NA,NA,CNY
3853.2919,3897.3273,3853.2919,3892.8821,133158051,000300.SH,2023-07-03,NA,NA,CNY
3888.0328,3899.9755,3878.3978,3899.0133,109494527,000300.SH,2023-07-04,NA,NA,CNY
3895.1945,3899.5188,3864.1301,3868.8054,97636384,000300.SH,2023-07-05,NA,NA,CNY
3857.0304,3876.8901,3836.4573,3842.7547,100121842,000300.SH,2023-07-06,NA,NA,CNY
3831.5955,3844.8438,3819.0772,3825.6988,100906920,000300.SH,2023-07-07,NA,NA,CNY
3841.5591,3865.4566,3831.92,3844.3269,92033441,000300.SH,2023-07-10,NA,NA,CNY
3853.7955,3870.6549,3844.5244,3869.4861,86510716,000300.SH,2023-07-11,NA,NA,CNY
3864.6013,3874.0403,3838.5632,3843.4369,111522024,000300.SH,2023-07-12,NA,NA,CNY
3855.662,3901.1023,3855.662,3898.4229,120300232,000300.SH,2023-07-13,NA,NA,CNY
3904.6033,3908.4871,3893.7862,3899.1027,122364846,000300.SH,2023-07-14,NA,NA,CNY
3881.6225,3881.6225,3852.2626,3867.1749,98340144,000300.SH,2023-07-17,NA,NA,CNY
3871.0444,3871.0444,3844.5129,3854.9393,91438615,000300.SH,2023-07-18,NA,NA,CNY
3848.4826,3860.0092,3830.4073,3850.8663,79585700,000300.SH,2023-07-19,NA,NA,CNY
3857.7725,3875.6241,3818.7134,3823.6946,92042076,000300.SH,2023-07-20,NA,NA,CNY
3816.9835,3849.5109,3808.803,3821.91,79507563,000300.SH,2023-07-21,NA,NA,CNY
3803.3492,3828.7853,3798.8048,3805.221,75483545,000300.SH,2023-07-24,NA,NA,CNY
3866.6445,3915.8148,3866.6445,3915.1153,163066320,000300.SH,2023-07-25,NA,NA,CNY
3908.174,3912.9834,3893.3987,3907.0128,107881717,000300.SH,2023-07-26,NA,NA,CNY
3914.2298,3935.3578,3894.6923,3902.3458,110667109,000300.SH,2023-07-27,NA,NA,CNY
3889.7929,4000.919,3886.5535,3992.7376,179735481,000300.SH,2023-07-28,NA,NA,CNY
4018.8895,4064.3621,4002.0784,4014.6301,199606830,000300.SH,2023-07-31,NA,NA,CNY
4009.1831,4031.7008,3983.0273,3998.001,142286859,000300.SH,2023-08-01,NA,NA,CNY
3985.6951,4008.3343,3958.5127,3969.895,125855690,000300.SH,2023-08-02,NA,NA,CNY
3962.1296,4004.9996,3962.1296,4004.9839,129006640,000300.SH,2023-08-03,NA,NA,CNY
4033.7239,4058.2431,4011.6202,4020.5792,178267189,000300.SH,2023-08-04,NA,NA,CNY
4002.9677,4002.9677,3977.0173,3990.1531,121310662,000300.SH,2023-08-07,NA,NA,CNY
3980.0423,4002.2904,3963.4632,3979.7322,109871699,000300.SH,2023-08-08,NA,NA,CNY
3967.3566,3982.1091,3961.8434,3967.5652,94640269,000300.SH,2023-08-09,NA,NA,CNY
3962.8569,3976.4637,3945.3869,3975.7166,97176849,000300.SH,2023-08-10,NA,NA,CNY
3977.9834,3977.9834,3884.2538,3884.2538,126082931,000300.SH,2023-08-11,NA,NA,CNY
3840.8872,3859.4718,3814.0711,3855.9061,115966336,000300.SH,2023-08-14,NA,NA,CNY
3858.3662,3865.284,3811.6839,3846.5357,103097111,000300.SH,2023-08-15,NA,NA,CNY
3830.8274,3852.4198,3817.6324,3818.3338,94616946,000300.SH,2023-08-16,NA,NA,CNY
3801.1969,3836.1507,3782.4967,3831.1008,98415493,000300.SH,2023-08-17,NA,NA,CNY
3832.4554,3844.195,3784.0038,3784.0038,95549638,000300.SH,2023-08-18,NA,NA,CNY
3773.225,3782.1112,3729.555,3729.555,98708369,000300.SH,2023-08-21,NA,NA,CNY
3748.0675,3770.0556,3704.6785,3758.2271,120318327,000300.SH,2023-08-22,NA,NA,CNY
3751.7736,3756.1659,3695.0309,3696.6339,97081638,000300.SH,2023-08-23,NA,NA,CNY
3711.5403,3748.8567,3701.5717,3723.4293,119614521,000300.SH,2023-08-24,NA,NA,CNY
3703.5136,3734.2185,3695.8442,3709.1517,105182610,000300.SH,2023-08-25,NA,NA,CNY
3911.5485,3911.5485,3740.5279,3752.6194,197990379,000300.SH,2023-08-28,NA,NA,CNY
3743.0534,3810.3772,3742.0758,3790.1067,152486146,000300.SH,2023-08-29,NA,NA,CNY
3803.1191,3813.7032,3780.2411,3788.5097,129671661,000300.SH,2023-08-30,NA,NA,CNY
3786.9261,3793.9972,3762.0046,3765.2678,118961646,000300.SH,2023-08-31,NA,NA,CNY
3778.9129,3808.5306,3778.9129,3791.4912,105319045,000300.SH,2023-09-01,NA,NA,CNY
3812.9873,3854.2605,3804.5886,3848.9517,142385201,000300.SH,2023-09-04,NA,NA,CNY
3839.5779,3839.5779,3814.3338,3820.3174,104052333,000300.SH,2023-09-05,NA,NA,CNY
3808.1,3817.5239,3790.8949,3812.0283,93442393,000300.SH,2023-09-06,NA,NA,CNY
3802.2272,3802.2272,3756.853,3758.4748,95103903,000300.SH,2023-09-07,NA,NA,CNY
3747.6509,3753.263,3724.987,3739.9927,71638166,000300.SH,2023-09-08,NA,NA,CNY
3740.5846,3788.3219,3734.7228,3767.537,105358016,000300.SH,2023-09-11,NA,NA,CNY
3764.3331,3775.093,3755.4162,3760.6048,79385378,000300.SH,2023-09-12,NA,NA,CNY
3759.6091,3768.8162,3719.1114,3736.6513,81576901,000300.SH,2023-09-13,NA,NA,CNY
3736.9355,3748.8177,3717.3107,3733.5077,100386075,000300.SH,2023-09-14,NA,NA,CNY
3740.7853,3749.0247,3699.3806,3708.7766,109395689,000300.SH,2023-09-15,NA,NA,CNY
3698.9344,3737.5306,3691.1107,3727.711,86727741,000300.SH,2023-09-18,NA,NA,CNY
3723.4244,3724.0717,3702.6934,3720.5021,83199038,000300.SH,2023-09-19,NA,NA,CNY
3715.9578,3718.5207,3705.1274,3705.6898,75448209,000300.SH,2023-09-20,NA,NA,CNY
3698.313,3708.4557,3672.4448,3672.4448,83031005,000300.SH,2023-09-21,NA,NA,CNY
3672.6402,3740.4183,3664.7661,3738.9327,110231166,000300.SH,2023-09-22,NA,NA,CNY
3738.0622,3738.0622,3711.2049,3714.6037,92596479,000300.SH,2023-09-25,NA,NA,CNY
3711.7106,3723.8481,3692.6172,3692.8928,78044525,000300.SH,2023-09-26,NA,NA,CNY
3694.9607,3731.1405,3694.3938,3700.495,91629210,000300.SH,2023-09-27,NA,NA,CNY
3711.2117,3716.0569,3685.3001,3689.5172,85221719,000300.SH,2023-09-28,NA,NA,CNY
3678.929,3694.1713,3641.9966,3684.7272,102148058,000300.SH,2023-10-09,NA,NA,CNY
3696.2542,3701.2562,3655.589,3657.1259,99163730,000300.SH,2023-10-10,NA,NA,CNY
3674.7514,3689.5347,3658.355,3667.5483,102091587,000300.SH,2023-10-11,NA,NA,CNY
3697.9337,3711.4985,3682.8418,3702.3824,114363225,000300.SH,2023-10-12,NA,NA,CNY
3677.9585,3678.1913,3652.3094,3663.4104,98287987,000300.SH,2023-10-13,NA,NA,CNY
3664.039,3664.039,3615.7686,3626.5972,91853118,000300.SH,2023-10-16,NA,NA,CNY
3635.2994,3645.5654,3619.1277,3639.4018,90745188,000300.SH,2023-10-17,NA,NA,CNY
3631.0671,3632.0579,3608.9768,3610.5767,94545879,000300.SH,2023-10-18,NA,NA,CNY
3588.5154,3588.5154,3532.3059,3533.5445,111737520,000300.SH,2023-10-19,NA,NA,CNY
3518.3464,3535.6623,3501.725,3510.5889,98518605,000300.SH,2023-10-20,NA,NA,CNY
3500.199,3505.3468,3450.6456,3474.2438,96561652,000300.SH,2023-10-23,NA,NA,CNY
3481.7644,3495.0039,3453.1016,3487.1302,115547289,000300.SH,2023-10-24,NA,NA,CNY
3524.2965,3531.8314,3500.9154,3504.4576,128009617,000300.SH,2023-10-25,NA,NA,CNY
3484.7807,3515.5716,3478.0503,3514.1448,105143566,000300.SH,2023-10-26,NA,NA,CNY
3501.171,3576.5861,3494.5488,3562.3851,120225108,000300.SH,2023-10-27,NA,NA,CNY
3554.1055,3592.7188,3554.0238,3583.7718,144010426,000300.SH,2023-10-30,NA,NA,CNY
3581.6759,3581.6759,3554.5822,3572.5056,112587267,000300.SH,2023-10-31,NA,NA,CNY
3605.7576,3606.4126,3564.6421,3571.0268,97645538,000300.SH,2023-11-01,NA,NA,CNY
3580.0672,3597.1699,3553.7406,3554.1889,90359643,000300.SH,2023-11-02,NA,NA,CNY
3558.5303,3596.101,3558.5303,3584.1364,97542101,000300.SH,2023-11-03,NA,NA,CNY
3608.3187,3635.7897,3600.6304,3632.6084,152982463,000300.SH,2023-11-06,NA,NA,CNY
3623.7849,3628.4615,3606.2975,3619.7593,110288591,000300.SH,2023-11-07,NA,NA,CNY
3610.6434,3627.0479,3591.8248,3611.0723,110594230,000300.SH,2023-11-08,NA,NA,CNY
3603.1082,3624.4141,3601.3744,3612.8263,111872057,000300.SH,2023-11-09,NA,NA,CNY
3596.0688,3599.4519,3576.1011,3586.4893,102107034,000300.SH,2023-11-10,NA,NA,CNY
3593.9109,3599.3897,3562.7682,3579.4141,96707649,000300.SH,2023-11-13,NA,NA,CNY
3581.1034,3600.1483,3568.882,3582.0584,100884158,000300.SH,2023-11-14,NA,NA,CNY
3616.8765,3620.6007,3596.9158,3607.2454,104929218,000300.SH,2023-11-15,NA,NA,CNY
3600.9813,3605.2898,3572.3636,3572.3641,87464780,000300.SH,2023-11-16,NA,NA,CNY
3561.3112,3573.6819,3547.0287,3568.0685,87319207,000300.SH,2023-11-17,NA,NA,CNY
3569.7314,3586.9731,3545.1038,3576.3233,91080445,000300.SH,2023-11-20,NA,NA,CNY
3587.8779,3615.0569,3575.682,3581.0674,108594314,000300.SH,2023-11-21,NA,NA,CNY
3569.4389,3574.3782,3544.4162,3544.4162,84784381,000300.SH,2023-11-22,NA,NA,CNY
3541.4416,3562.0675,3529.939,3561.5204,84800167,000300.SH,2023-11-23,NA,NA,CNY
3560.6462,3560.6462,3533.9955,3538.0087,85018403,000300.SH,2023-11-24,NA,NA,CNY
3534.4445,3534.4445,3492.8623,3511.9424,99102314,000300.SH,2023-11-27,NA,NA,CNY
3510.6554,3521.0463,3501.1093,3518.5232,89335789,000300.SH,2023-11-28,NA,NA,CNY
3518.8836,3519.198,3482.2444,3488.3073,98841412,000300.SH,2023-11-29,NA,NA,CNY
3485.5171,3505.1273,3481.4515,3496.2028,101350820,000300.SH,2023-11-30,NA,NA,CNY
